,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
327,3.95,-13.24,9.1,1115.36,9.27,0.298,4.3,amorphous
328,3.25,-7.35,9.96,1107.66,9.53,0.25,4.33,amorphous
329,3.14,-5.98,8.16,1086.04,9.96,0.246,4.4,amorphous
330,6.99,-27.52,9.05,1315.9,15.7,0.34700000000000003,5.3,amorphous
331,6.78,-27.37,9.99,1317.35,15.19,0.328,4.75,amorphous
332,6.94,-27.43,9.82,1324.16,15.54,0.34,5.06,amorphous
333,6.5,-43.44,11.97,1771.99,10.57,0.248,6.71,amorphous
334,6.49,-43.25,11.68,1778.25,10.48,0.247,6.65,amorphous
335,6.52,-42.81,11.77,1772.41,10.52,0.248,6.72,amorphous
336,6.5,-43.41,11.65,1779.18,10.51,0.248,6.65,amorphous
337,6.41,-45.41,10.46,1791.15,10.35,0.242,6.6,amorphous
338,6.8,-27.52,9.05,1262.5,15.94,0.35200000000000004,5.3,amorphous
339,3.57,-12.15,14.53,923.91,15.79,0.261,4.09,amorphous
340,3.66,-10.6,14.53,1042.05,16.39,0.306,4.1,amorphous
341,3.64,-13.12,13.38,975.54,15.29,0.256,4.2,amorphous
342,6.06,-21.2,11.9,1702.84,9.08,0.195,6.51,amorphous
343,5.25,-26.37,11.3,1830.94,11.13,0.168,4.75,amorphous
344,5.11,-25.43,10.7,1821.59,10.7,0.158,4.75,amorphous
345,6.11,-33.2,12.48,1827.08,13.36,0.224,5.25,amorphous
346,6.09,-34.27,12.34,1833.04,13.59,0.222,5.14,amorphous
347,5.43,-25.88,11.6,1835.17,12.03,0.17600000000000002,4.62,amorphous
348,5.51,-28.26,11.98,1849.64,11.86,0.183,4.75,amorphous
349,6.07,-35.2,12.18,1838.12,13.82,0.22,5.03,amorphous
350,6.05,-36.14,11.97,1843.32,14.05,0.217,4.91,amorphous
351,6.03,-37.07,11.73,1848.41,14.27,0.215,4.8,amorphous
352,6.01,-38.0,11.46,1853.52,14.49,0.212,4.69,amorphous
353,5.99,-38.92,11.15,1858.61,14.7,0.209,4.58,amorphous
354,6.5,-31.51,10.18,1813.15,9.69,0.25,5.78,amorphous
